id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1440199328298246115,Merritt View Flat,15873476,Clare,,Cleveland Heights,37.80708,-122.24832,Entire home/apt,136,3,2,2025-06-29,0.65,1,84,2,
1441663986314307048,Oakland Gem,12866834,Becca,,Redwood Heights,37.79923,-122.19455,Entire home/apt,69,30,0,,,1,283,0,
1442472148163854800,Relaxing suite + private deck in paradise spot,453358348,Carmen,,Lincoln Highlands,37.8047,-122.19613,Entire home/apt,97,30,5,2025-08-19,2.05,3,362,5,
1444535065050603781,Private room/bath in a house,498429374,Damola,,Fruitvale Station,37.77110216371203,-122.22091253846885,Private room,50,30,0,,,3,266,0,
1445061256348683159,Bright Apt Luxe • King Bed • Near UC Berkeley & SF,206989629,Dima,,Longfellow,37.8316727,-122.268515,Entire home/apt,126,2,15,2025-09-24,5.56,2,146,15,
1445745284329924993,Lake Merritt Oasis,91716784,Lori,,Cleveland Heights,37.8043,-122.24324,Entire home/apt,130,2,33,2025-09-20,12.07,1,160,33,
1446408106202756784,Fully Equipped 8BR 6Ba | Few mins to SF,598636638,Maricar,,South Prescott,37.80742,-122.30391,Entire home/apt,265,1,5,2025-08-16,2.17,4,189,5,
1446450111393467902,Cozy Downtown Oakland Apt on 5th floor,121372891,Wei,,Chinatown,37.801,-122.2715,Private room,,30,0,,,4,0,0,
1446510063505666917,Private Guest Suite with Deck,58373066,Rosesharon,,Highland Terrace,37.79492,-122.23793,Entire home/apt,,2,15,2025-09-19,8.04,1,73,15,
1446753005527132481,Sunny Work-Ready 1BR w/ Gated Parking!,4859526,Danielle,,Clinton,37.79316,-122.24866,Entire home/apt,125,5,3,2025-07-14,1.03,6,24,3,
1449370002598594547,Stylish Studio ADU,399857,Magali,,Gaskill,37.84103,-122.27943,Entire home/apt,102,2,15,2025-09-22,4.95,1,29,15,
1449954788838003180,Modern Comfort: Lake Merritt Edition,90380986,David,,Lakewide,37.80884,-122.25659,Entire home/apt,303,31,1,2025-09-07,1,2,364,1,
1451705586775026172,Oakland Oasis - Bed A - Men Only,91775254,Jira,,Bartlett,37.78793,-122.2136009,Shared room,31,1,9,2025-09-19,3.00,11,263,9,
1451717752201974493,Oakland Oasis - Bed B - Men Only,91775254,Jira,,Peralta-Hacienda,37.78861213405371,-122.21476897145327,Shared room,36,1,7,2025-09-15,3.89,11,268,7,
1451724530132924113,Oakland Oasis - Bed C - Men Only,91775254,Jira,,Peralta-Hacienda,37.787680870374665,-122.21479920017426,Shared room,31,1,7,2025-09-01,2.59,11,298,7,
1451733072319876501,Oakland Oasis - Bed D -Men Only,91775254,Jira,,Bartlett,37.78826519027789,-122.21273798235777,Shared room,37,1,3,2025-09-01,1.61,11,363,3,
1452283772660072587,Cozy condo w/ amazing view over the city,430616557,Keisha,,Waverly,37.81246,-122.26524,Entire home/apt,147,2,7,2025-09-22,2.88,1,71,7,
1452979892055458296,Stylish 1BR • King Bed • Near SF & UC Berkeley,206989629,Dima,,Longfellow,37.831675,-122.2685158,Entire home/apt,128,2,10,2025-09-22,4.05,2,332,10,
1454780641018807594,Family-Friendly Modern Tudor w/Sweeping Views,204288,Theresa,,Montclair,37.8325784,-122.2072707,Entire home/apt,341,3,1,2025-08-22,0.86,1,87,1,
1455104289194471132,"Lovely condo, steps to Piedmont Ave!",6391646,Sheila,,Piedmont Avenue,37.8243,-122.25429,Entire home/apt,111,2,3,2025-08-03,1.34,1,251,3,
1455156239439724280,Nest by GLK #404 - 3BR/2BA condo on Lake Merritt,525081794,May,,Adams Point,37.8093778,-122.2499935,Entire home/apt,280,2,0,,,4,305,0,
1455239433391370130,Room 3 yellow Bed 4@ FacesOasis,195751579,Bruce,,South Prescott,37.80295732240172,-122.29592438705144,Shared room,26,1,0,,,12,355,0,
1455420073746615806,Gorgeous Rockridge Bungalow,14080773,Ken,,Shafter,37.83693460063589,-122.25355115344239,Entire home/apt,,7,0,,,1,0,0,
1455835578662630072,Bright & Bold Twin Room w/ desk,4859526,Danielle,,Clinton,37.79424,-122.24689,Private room,,3,1,2025-07-14,0.41,6,0,1,
1456469681271809577,"Blueground | Civic Center, view, nr Lake Merritt",107434423,,,Civic Center,37.8018717,-122.2666278,Entire home/apt,155,30,0,,,21,216,0,
1457229847857269109,ArtHaus Ninth - Brand New Studio in Old Oakland,263143710,Rishi Nath,,Old City-Produce And Waterfront,37.802724,-122.279019,Entire home/apt,71,30,1,2025-09-01,1,11,257,1,
1457230116538253237,ArtHaus Ninth - Brand New Studio in Old Oakland,263143710,Rishi Nath,,Old City-Produce And Waterfront,37.802724,-122.279019,Entire home/apt,69,30,0,,,11,240,0,
1457472502980541067,Cozy Downtown Oakland Studio Near BART,121372891,Wei,,Civic Center,37.80122,-122.26967,Private room,58,31,1,2025-09-02,1,4,364,1,
1457534996220327440,Safe Clean 3+2 Nurse Approved,222294108,Kimbrely Nicole,,School,37.79718,-122.21283,Entire home/apt,203,10,0,,,1,364,0,
1458830540654918493,Harrison St. New studio walk to Lake Merritt !,68929857,Mehdi,,Oakland Ave-Harrison St,37.81724,-122.25465,Entire home/apt,72,2,8,2025-09-07,3.43,5,308,8,
1458835385818186779,Private Zen Den | Bus to BART + SF,49967315,Juanita,,McClymonds,37.8165,-122.28208,Private room,86,2,7,2025-08-18,3.00,1,83,7,
1458945916984808913,True View home in Montclair (Oakland Hills/SF),705521302,Chris,,Montclair,37.8365421,-122.2023524,Entire home/apt,452,2,1,2025-09-14,1,1,147,1,
1459463093568802224,Quiet & Cozy Lakeshore Home,2353090,Samie,,Lakeshore,37.81255511647027,-122.24370062368213,Entire home/apt,104,2,1,2025-08-09,0.63,1,327,1,
1459667208624949415,"Charming, well-located Craftsman",35435962,Erin,,Fairview Park,37.8466101,-122.2588086,Entire home/apt,293,7,0,,,1,252,0,
1459739580887362988,Zen Room in Peaceful Flat - Walk to BART,1556814,Tamra,,San Pablo Gateway,37.81066365381723,-122.27101770001762,Private room,75,21,1,2025-07-21,0.45,13,156,1,
1459762701910709405,Roomy 3BR Oasis by Zoo & Trails,12405012,Christian,,Golf Links,37.76027,-122.15535,Entire home/apt,196,3,0,,,1,173,0,
1459891616332759519,2 Bedroom Flat.,294724077,Melsons,,Cleveland Heights,37.80322735732919,-122.25100582434435,Entire home/apt,149,2,2,2025-08-23,1.50,3,359,2,
1461708788708073001,Victorian Home 4BD 2Bath + Mins to SF + Parking,706329731,Aron,,Prescott,37.80964433518369,-122.29658813836437,Entire home/apt,211,28,2,2025-07-16,0.77,5,365,2,
1461766703066049691,Victorian Duplex + Sleeps 6 + Parking + Mins to SF,706329731,Aron,,North Kennedy Tract,37.77886288117397,-122.23467683896912,Entire home/apt,133,28,0,,,5,365,0,
1461773761900005828,Entire Duplex + 7 BD + Parking + Mins to SF,706329731,Aron,,North Kennedy Tract,37.77837,-122.23254,Entire home/apt,350,28,0,,,5,365,0,
1462275566545250727,"Full Luxury Condo: 2 Beds, 3 Baths, Garage, 5 Beds",225231640,Sarit,,McClymonds,37.81562,-122.27894,Entire home/apt,226,30,0,,,1,358,0,
1463281380266371668,1BR | 1BA w/ Iconic Bay Views,706774651,Paul,,Piedmont,37.81294,-122.21696,Entire home/apt,111,30,0,,,1,325,0,
1463316606220614975,Golden Gate Views | 4BR Gem in Upper Rockridge,81938418,Lorena,,Upper Rockridge,37.83774,-122.22411,Entire home/apt,970,4,0,,,1,353,0,
